IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.253.18,8443,true,SIN,Asia Pacific,Singapore,190 ms,10351 kB/s
8.219.206.180,8443,true,SIN,Asia Pacific,Singapore,254 ms,10347 kB/s
8.219.145.245,2087,true,SIN,Asia Pacific,Singapore,209 ms,10345 kB/s
8.219.195.47,2053,true,SIN,Asia Pacific,Singapore,195 ms,10317 kB/s
8.219.167.65,2053,true,SIN,Asia Pacific,Singapore,202 ms,10308 kB/s
8.219.248.170,2087,true,SIN,Asia Pacific,Singapore,185 ms,10305 kB/s
8.219.137.50,2053,true,SIN,Asia Pacific,Singapore,183 ms,10302 kB/s
8.222.215.228,2053,true,SIN,Asia Pacific,Singapore,204 ms,10294 kB/s
8.222.131.102,2083,true,SIN,Asia Pacific,Singapore,196 ms,10255 kB/s
8.222.174.108,2087,true,SIN,Asia Pacific,Singapore,201 ms,10252 kB/s
8.222.145.110,2083,true,SIN,Asia Pacific,Singapore,205 ms,10247 kB/s
8.222.164.44,2096,true,SIN,Asia Pacific,Singapore,210 ms,10244 kB/s
8.222.154.50,8443,true,SIN,Asia Pacific,Singapore,227 ms,10225 kB/s
8.222.213.221,2053,true,SIN,Asia Pacific,Singapore,205 ms,10223 kB/s
8.219.100.155,2053,true,SIN,Asia Pacific,Singapore,226 ms,10220 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,204 ms,10214 kB/s
8.219.126.3,8443,true,SIN,Asia Pacific,Singapore,208 ms,10201 kB/s
8.222.212.116,2096,true,SIN,Asia Pacific,Singapore,186 ms,10198 kB/s
8.222.175.78,2096,true,SIN,Asia Pacific,Singapore,192 ms,10198 kB/s
8.222.140.87,2096,true,SIN,Asia Pacific,Singapore,202 ms,10190 kB/s
8.222.219.34,2096,true,SIN,Asia Pacific,Singapore,204 ms,10184 kB/s
8.219.72.50,2053,true,SIN,Asia Pacific,Singapore,194 ms,10183 kB/s
8.219.82.35,2083,true,SIN,Asia Pacific,Singapore,191 ms,10178 kB/s
8.222.187.4,2096,true,SIN,Asia Pacific,Singapore,210 ms,10175 kB/s
8.222.214.231,2053,true,SIN,Asia Pacific,Singapore,191 ms,10166 kB/s
8.222.229.102,2087,true,SIN,Asia Pacific,Singapore,196 ms,10166 kB/s
8.222.238.141,2083,true,SIN,Asia Pacific,Singapore,205 ms,10162 kB/s
8.219.175.127,2087,true,SIN,Asia Pacific,Singapore,204 ms,10153 kB/s
8.222.144.219,2087,true,SIN,Asia Pacific,Singapore,186 ms,10153 kB/s
8.222.130.137,2087,true,SIN,Asia Pacific,Singapore,201 ms,10152 kB/s
8.222.224.163,2087,true,SIN,Asia Pacific,Singapore,191 ms,10151 kB/s
47.245.107.174,8443,true,SIN,Asia Pacific,Singapore,191 ms,10144 kB/s
8.219.82.35,2087,true,SIN,Asia Pacific,Singapore,202 ms,10142 kB/s
8.222.144.219,2083,true,SIN,Asia Pacific,Singapore,190 ms,10139 kB/s
8.219.167.65,2096,true,SIN,Asia Pacific,Singapore,202 ms,10139 kB/s
8.222.155.242,2083,true,SIN,Asia Pacific,Singapore,213 ms,10136 kB/s
8.222.138.164,2087,true,SIN,Asia Pacific,Singapore,183 ms,10135 kB/s
8.219.248.170,8443,true,SIN,Asia Pacific,Singapore,192 ms,10134 kB/s
8.222.249.190,2083,true,SIN,Asia Pacific,Singapore,201 ms,10123 kB/s
8.222.138.164,2083,true,SIN,Asia Pacific,Singapore,190 ms,10122 kB/s
8.219.79.74,2083,true,SIN,Asia Pacific,Singapore,194 ms,10121 kB/s
8.222.213.221,8443,true,SIN,Asia Pacific,Singapore,185 ms,10118 kB/s
8.222.255.15,8443,true,SIN,Asia Pacific,Singapore,214 ms,10114 kB/s
8.219.235.164,2087,true,SIN,Asia Pacific,Singapore,195 ms,10112 kB/s
8.222.154.227,2053,true,SIN,Asia Pacific,Singapore,203 ms,10110 kB/s
8.222.137.178,2087,true,SIN,Asia Pacific,Singapore,201 ms,10109 kB/s
8.222.212.219,8443,true,SIN,Asia Pacific,Singapore,187 ms,10103 kB/s
8.219.60.130,2083,true,SIN,Asia Pacific,Singapore,203 ms,10103 kB/s
8.222.131.102,2087,true,SIN,Asia Pacific,Singapore,209 ms,10099 kB/s
47.245.107.174,2096,true,SIN,Asia Pacific,Singapore,201 ms,10094 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,207 ms,10094 kB/s
8.222.144.219,8443,true,SIN,Asia Pacific,Singapore,189 ms,10089 kB/s
8.219.67.133,2087,true,SIN,Asia Pacific,Singapore,225 ms,10088 kB/s
8.219.248.170,2053,true,SIN,Asia Pacific,Singapore,203 ms,10084 kB/s
8.222.221.197,2053,true,SIN,Asia Pacific,Singapore,206 ms,10081 kB/s
47.245.89.102,2053,true,SIN,Asia Pacific,Singapore,192 ms,10081 kB/s
8.219.206.180,2053,true,SIN,Asia Pacific,Singapore,209 ms,10080 kB/s
8.222.137.166,2096,true,SIN,Asia Pacific,Singapore,208 ms,10075 kB/s
8.222.221.197,2096,true,SIN,Asia Pacific,Singapore,203 ms,10073 kB/s
8.222.167.8,2096,true,SIN,Asia Pacific,Singapore,201 ms,10073 kB/s
8.222.182.10,8443,true,SIN,Asia Pacific,Singapore,189 ms,10071 kB/s
47.245.84.155,2096,true,SIN,Asia Pacific,Singapore,204 ms,10068 kB/s
8.222.229.22,2053,true,SIN,Asia Pacific,Singapore,202 ms,10067 kB/s
8.222.140.87,2087,true,SIN,Asia Pacific,Singapore,190 ms,10066 kB/s
